Stock Index,Index,Industry,VWAP,General Index,NAV,P/E Ratio,Volumes Traded,Inventory Turnover,Covid Impact (Beta),Tracking Error,Dollar Exchange Rate,Put-Call Ratio,P/B Ratio,Stock Price
AB1861,BSE,Materials,33.57,38182.08,99.12,104.53,13628708,6.33,0.03,0.0203,74.9,0.61,3.23,1026.038618
AB1862,NYSE,Information Tech,143.13,12765.84,99.58,112.55,14264209,3.62,0.23,0.0486,1,0.88,0.94,1110.018093
AB1863,S&P 500,Energy,496.96,3351.28,22.68,91.86,7842723,3.78,0.11,0.0183,1,1.24,6.59,201.0169941
AB1864,JSE,Energy,262.83,55722,54.96,139.95,5095680,4.65,0.11,0.0415,17.7,0.68,0.5,755.9244179
AB1865,JSE,Information Tech,696.48,55722,96.5,119.06,1463102,4.55,0.23,0.0363,17.7,1.28,4.91,1141.616209
AB1866,NYSE,Energy,498.18,12765.84,87.98,76.93,5796681,6.38,0.11,0.018,1,1.04,0.83,670.8702399
AB1867,S&P 500,Information Tech,862.69,3351.28,98.09,151.09,1429376,3.89,0.23,0.0353,1,0.89,8.28,1477.852455
AB1868,NYSE,Materials,9.94,12765.84,67.46,13.42,8177628,6.43,0.03,0.0215,1,0.67,8.07,89.53540815
AB1869,BSE,Healthcare,757.89,38182.08,50.11,131.38,4677004,7.67,0.78,0.0372,74.9,0.73,0.95,651.6778752
AB1870,S&P 500,Materials,209.96,3351.28,79.46,172.51,16676109,6.48,0.03,0.0202,1,1.01,5.2,1354.135281
AB1871,S&P 500,Healthcare,363.5,3351.28,54.55,72.3,12949884,7.97,0.78,0.0548,1,1.26,7.24,388.2460208
AB1872,NSE,Real Estate,563.37,11270.15,23.33,110.84,19488018,5.75,-0.43,0.0253,74.9,0.79,1.66,250.0116749
AB1873,BSE,Real Estate,615,38182.08,17.97,87.62,8265255,8.3,-0.43,0.0188,74.9,0.81,6.36,151.8880463
AB1874,JSE,Healthcare,305.55,55722,47.37,154.48,6787197,6.26,0.78,0.0213,17.7,0.67,6.18,717.3474742
AB1875,BSE,Materials,958.38,38182.08,15.46,79.13,18905537,4.11,0.03,0.0615,74.9,0.87,1.26,132.6726987
AB1876,JSE,Healthcare,491.11,55722,38.17,78.3,8560433,8.2,0.78,0.0361,17.7,0.84,8.53,292.897543
AB1877,BSE,Materials,576.68,38182.08,93.05,165.45,1087216,5.16,0.03,0.0244,74.9,1.27,5.7,1525.504059
AB1878,JSE,Energy,223.19,55722,12.77,87.69,4930694,8.25,0.11,0.0363,17.7,0.7,4.7,104.1069873
AB1879,NSE,Materials,823.54,11270.15,98.03,76.09,9685812,5.57,0.03,0.0203,74.9,0.78,1.8,747.1315773
AB1880,NSE,Healthcare,15.89,11270.15,54.18,110.79,11768071,3.53,0.78,0.0489,74.9,1.22,5.58,589.6982284
AB1881,BSE,Energy,323.39,38182.08,58.88,153.88,1598886,3.16,0.11,0.0496,74.9,1.18,5.2,891.5645722
AB1882,NSE,Healthcare,480.18,11270.15,33.64,134.01,2348135,3.75,0.78,0.0166,74.9,1.05,2.36,439.2640164
AB1883,NYSE,Energy,262.09,12765.84,23.53,64.91,17225335,2.96,0.11,0.0158,1,0.82,5.81,147.0132264
AB1884,S&P 500,Information Tech,349.35,3351.28,71.76,56.54,6335100,6.8,0.23,0.0473,1,0.66,9.13,401.0348414
AB1885,NYSE,Energy,130.25,12765.84,65.28,117.71,17475643,5.58,0.11,0.0277,1,1.16,4.69,757.1362293
AB1886,S&P 500,Materials,628.35,3351.28,12.56,192.72,9751012,7.2,0.03,0.0397,1,0.94,0.77,226.7231512
AB1887,S&P 500,Healthcare,442.69,3351.28,54.99,192.32,13523034,5.91,0.78,0.0183,1,0.75,1.55,1039.927125
AB1888,NSE,Real Estate,559.82,11270.15,66.35,24.06,16370912,4.55,-0.43,0.0543,74.9,0.97,3.64,159.4791942
AB1889,BSE,Real Estate,393.53,38182.08,93.6,30.11,17076508,2.64,-0.43,0.0568,74.9,0.94,9.14,279.8446814
AB1890,NYSE,Real Estate,192.61,12765.84,80.28,149.61,16808613,7.56,-0.43,0.0364,1,1.08,8.43,1186.642536
AB1891,BSE,Real Estate,755.03,38182.08,59.69,97.38,1394948,4.58,-0.43,0.0418,74.9,1.14,8.8,577.6841857
AB1892,BSE,Materials,598.84,38182.08,62.64,125.23,2702881,4.43,0.03,0.0335,74.9,1.05,6.67,774.7642877
AB1893,JSE,Information Tech,586.93,55722,53.63,73.78,16188952,5.72,0.23,0.0243,17.7,1.29,4.95,390.9734635
AB1894,JSE,Energy,68.35,55722,98.83,182.32,8792680,5.65,0.11,0.0388,17.7,1,4.47,1784.084825
AB1895,NSE,Healthcare,436.31,11270.15,63.24,22.57,19763175,4.81,0.78,0.0483,74.9,1.28,1.95,141.8646192
AB1896,JSE,Information Tech,893.85,55722,13.25,71.07,15064807,4.07,0.23,0.0506,17.7,0.92,5.96,100.1072594
AB1897,S&P 500,Materials,447.52,3351.28,34.06,178.75,4182569,3.52,0.03,0.0569,1,0.81,3.05,592.5407223
AB1898,S&P 500,Energy,703.07,3351.28,59.58,129.6,7082836,7.15,0.11,0.0253,1,0.67,9.54,764.0237713
AB1899,JSE,Healthcare,734.35,55722,48.16,79.44,602996,3.58,0.78,0.0281,17.7,0.66,4.47,380.3560822
AB1900,S&P 500,Energy,344.94,3351.28,69.33,142.73,15837295,7.89,0.11,0.0285,1,0.99,8.52,976.2345938
AB1901,BSE,Healthcare,9.28,38182.08,76.68,22.09,19817668,8.02,0.78,0.0233,74.9,1.25,3.96,167.6055181
AB1902,BSE,Information Tech,530.3,38182.08,26.98,138.83,3035792,7.77,0.23,0.0557,74.9,0.94,8.12,362.9238177
AB1903,JSE,Real Estate,296.09,55722,85.23,107.14,11756272,7.15,-0.43,0.0425,17.7,0.87,3.49,903.168337
AB1904,S&P 500,Real Estate,296.61,3351.28,98.98,19.5,2029830,6.76,-0.43,0.0571,1,0.61,3.29,191.7480147
AB1905,S&P 500,Information Tech,879.18,3351.28,57.95,45.71,17360939,7.26,0.23,0.0391,1,0.9,3.04,272.1836745
AB1906,S&P 500,Energy,11.56,3351.28,63.1,91.55,13758131,4.54,0.11,0.0408,1,1.22,4.68,568.906016
AB1907,BSE,Materials,332.57,38182.08,35.54,73.22,19200301,8.2,0.03,0.0404,74.9,0.85,6.65,253.821013
AB1908,JSE,Materials,488.81,55722,11.58,23.31,10799767,4.43,0.03,0.0534,17.7,1.17,6.9,26.35661146
AB1909,S&P 500,Materials,96.78,3351.28,17.6,102.69,14866967,5.87,0.03,0.0612,1,0.65,0.84,171.1270641
AB1910,NSE,Energy,275.32,11270.15,44.18,190.39,5630511,4.4,0.11,0.0612,74.9,0.78,8.45,822.9915066
AB1911,S&P 500,Information Tech,119.87,3351.28,61.92,192.54,9341205,2.73,0.23,0.0175,1,1.11,3.34,1173.521851
AB1912,S&P 500,Real Estate,103.51,3351.28,34.35,68.73,4425624,4.19,-0.43,0.0556,1,1.02,7.1,229.6522975
AB1913,NSE,Energy,749.56,11270.15,36.98,47.24,3769655,6.68,0.11,0.0419,74.9,0.6,0.58,176.0016744
AB1914,BSE,Real Estate,898.09,38182.08,58.31,63.27,9736310,8.17,-0.43,0.0278,74.9,1.19,4.11,375.6573031
AB1915,JSE,Materials,558.39,55722,52.26,69.08,18727268,4.52,0.03,0.0483,17.7,0.99,0.93,356.4198977
AB1916,JSE,Materials,297.3,55722,49.94,143.36,1664787,4.69,0.03,0.0191,17.7,0.79,2.38,702.4538875
AB1917,BSE,Information Tech,50.84,38182.08,75.74,147.85,20122737,3.15,0.23,0.0568,74.9,0.93,3.62,1105.488167
AB1918,BSE,Healthcare,846.67,38182.08,18.88,176.46,14127350,5.37,0.78,0.0575,74.9,1.14,3.67,326.0105753
AB1919,NYSE,Energy,480.1,12765.84,91.34,84.65,2879660,5.61,0.11,0.0476,1,0.92,4.7,766.330323
AB1920,BSE,Healthcare,736.06,38182.08,97.73,107.48,6292483,7.44,0.78,0.0308,74.9,1.15,5.28,1045.368595
AB1921,NSE,Information Tech,307.9,11270.15,34.91,11.47,19144256,2.67,0.23,0.0209,74.9,1.17,5.88,39.65563589
AB1922,S&P 500,Materials,62.62,3351.28,41.28,151.71,4112288,5.45,0.03,0.0274,1,1.23,6.08,611.6001172
AB1923,NSE,Real Estate,654.68,11270.15,90.32,165.73,929268,4.51,-0.43,0.0397,74.9,0.89,5.19,1484.007869
AB1924,NYSE,Healthcare,157.5,12765.84,47.29,84.35,6446034,2.91,0.78,0.0596,1,0.82,4.54,391.1058025
AB1925,NSE,Healthcare,488.79,11270.15,99.18,54.22,12958132,7.33,0.78,0.0543,74.9,0.82,3.96,534.0899785
AB1926,JSE,Healthcare,291.82,55722,32.66,97.39,10200026,2.7,0.78,0.0537,17.7,0.81,3.08,309.2931588
AB1927,NSE,Information Tech,548.62,11270.15,19.52,102.82,18464661,4.42,0.23,0.054,74.9,1.15,8.99,192.8357346
AB1928,NSE,Materials,958.35,11270.15,46.04,166.81,17922604,2.87,0.03,0.031,74.9,0.82,9.51,769.5049027
AB1929,S&P 500,Energy,492.26,3351.28,90.14,156.32,9139979,4.21,0.11,0.0437,1,0.95,6.61,1395.169532
AB1930,BSE,Healthcare,583,38182.08,78.1,13.64,6440400,7.09,0.78,0.0216,74.9,0.79,2.87,107.8361058
AB1931,BSE,Energy,6.48,38182.08,57.54,93.78,13098123,3.62,0.11,0.0491,74.9,1.2,5.8,530.6171831
AB1932,NSE,Healthcare,477.28,11270.15,90.45,128.18,4104683,6.46,0.78,0.0415,74.9,0.7,0.48,1148.280841
AB1933,JSE,Real Estate,328.94,55722,32.08,83.58,12057412,7.61,-0.43,0.0295,17.7,0.96,7.08,260.6555219
AB1934,NYSE,Real Estate,550.49,12765.84,60.57,53.71,4354821,3.54,-0.43,0.0572,1,0.96,2.62,322.1221005
AB1935,NSE,Real Estate,938.15,11270.15,68.93,73.35,15616445,8.15,-0.43,0.0347,74.9,1.11,4.27,514.4317427
AB1936,NSE,Information Tech,17.64,11270.15,87.5,161.68,9794244,4.28,0.23,0.0473,74.9,1.08,2.49,1398.957978
AB1937,NSE,Energy,953.27,11270.15,38.73,152.99,6966725,8.31,0.11,0.0256,74.9,0.81,6.04,594.961206
AB1938,BSE,Real Estate,907.57,38182.08,44.46,52.16,3004775,7.05,-0.43,0.0293,74.9,1.23,5.92,240.418485
AB1939,S&P 500,Information Tech,579.91,3351.28,39.62,178.43,12480805,6.39,0.23,0.0557,1,1.04,0.89,691.8450735
AB1940,S&P 500,Healthcare,856.84,3351.28,61.06,103.05,14767082,3.5,0.78,0.0405,1,0.66,6.28,629.6209159
AB1941,NSE,Materials,660.67,11270.15,66.53,153.52,9765490,4,0.03,0.0231,74.9,0.88,6.63,1009.901112
AB1942,BSE,Energy,259.17,38182.08,82.06,116.38,19227084,5.12,0.11,0.0537,74.9,0.91,2.66,944.0670253
AB1943,JSE,Information Tech,626.78,55722,86.89,27.43,9523737,3.19,0.23,0.0551,17.7,0.92,7.89,238.8070119
AB1944,NYSE,Healthcare,215.04,12765.84,21.48,59.52,12519650,4.52,0.78,0.0221,1,0.76,4.31,122.6825243
AB1945,JSE,Materials,955.73,55722,21.61,40.68,16604160,6.65,0.03,0.0501,17.7,0.97,6.58,101.6814981
AB1946,JSE,Information Tech,367.06,55722,46.88,68.18,2824307,6.62,0.23,0.0558,17.7,0.68,3.11,313.8467688
AB1947,S&P 500,Energy,542.64,3351.28,85.47,117.23,16358223,6.87,0.11,0.0614,1,1.1,4.39,992.3974181
AB1948,NYSE,Healthcare,436.03,12765.84,94.42,177.04,9953974,3.85,0.78,0.0312,1,1.22,0.68,1655.374258
AB1949,NYSE,Healthcare,510.12,12765.84,22.45,175.45,16452725,7.74,0.78,0.0322,1,1.1,8.05,378.612259
AB1950,S&P 500,Real Estate,770.33,3351.28,68.9,130.12,10624111,7.7,-0.43,0.038,1,0.76,2.71,890.2191684
AB1951,BSE,Information Tech,197.32,38182.08,17.71,121.53,4366428,5.34,0.23,0.0411,74.9,0.91,5.84,203.9352072
AB1952,S&P 500,Healthcare,104.83,3351.28,55.91,65.64,15644123,3.26,0.78,0.02,1,0.62,1.83,360.9904027
AB1953,NSE,Materials,757.37,11270.15,25.64,122.03,16105070,4.19,0.03,0.0514,74.9,0.63,8.25,307.1540498
AB1954,NSE,Information Tech,181.66,11270.15,67.73,137.89,3661444,5.9,0.23,0.0342,74.9,0.6,9.41,920.7723179
AB1955,JSE,Energy,726.89,55722,58.25,197.61,17412232,4.81,0.11,0.0547,17.7,1.13,1.2,1136.786581
AB1956,S&P 500,Materials,204.9,3351.28,61.4,53.97,15641873,3.59,0.03,0.051,1,0.95,8.44,326.5325935
AB1957,NYSE,Real Estate,638,12765.84,48.24,112.71,18353533,4.92,-0.43,0.0185,1,1.26,1.95,535.8665874
AB1958,NSE,Information Tech,102.84,11270.15,95.61,123.71,9354983,7.9,0.23,0.0156,74.9,0.79,9.43,1170.90495
AB1959,JSE,Information Tech,845.51,55722,78.44,141.86,9998983,2.8,0.23,0.0318,17.7,0.92,2.13,1108.548382
AB1960,S&P 500,Materials,401.4,3351.28,14.4,130.14,17534451,7.51,0.03,0.0403,1,0.6,4.36,175.9282289
AB1961,BSE,Materials,381.5,38182.08,56.29,55.35,7500109,4.57,0.03,0.0597,74.9,1.19,1.83,307.0654768
AB1962,S&P 500,Materials,337.78,3351.28,88.21,156,13750369,7.63,0.03,0.0477,1,1.18,3.86,1361.381609
AB1963,NYSE,Healthcare,533.68,12765.84,95.56,154.79,1284039,4.31,0.78,0.0244,1,0.65,8.17,1465.913786
AB1964,BSE,Energy,160.96,38182.08,91.17,152.14,19960489,7.67,0.11,0.0449,74.9,1.15,7.4,1372.368996
AB1965,NSE,Information Tech,372.62,11270.15,99.8,187.33,1602007,6.15,0.23,0.0479,74.9,1.01,4.59,1851.889115
AB1966,BSE,Materials,331.66,38182.08,81.92,156.15,18819117,3.17,0.03,0.0265,74.9,0.88,6.42,1264.472473
AB1967,BSE,Information Tech,596.42,38182.08,98.27,196.89,2768456,6.28,0.23,0.0351,74.9,0.71,2.15,1917.996115
AB1968,NYSE,Energy,943.79,12765.84,97.41,82.76,4593453,3.84,0.11,0.0371,1,0.79,8.41,814.6067613
AB1969,S&P 500,Energy,879.05,3351.28,70,64.19,10310544,4.34,0.11,0.0211,1,1.02,0.5,454.7570121
AB1970,JSE,Real Estate,790.41,55722,92.06,162.85,6488776,4.23,-0.43,0.0446,17.7,0.99,6.5,1490.34238
AB1971,BSE,Real Estate,886.01,38182.08,87.24,187.74,19039330,6.82,-0.43,0.0471,74.9,0.63,8.32,1631.407131
AB1972,JSE,Information Tech,578.42,55722,25.3,124.43,12067815,5.07,0.23,0.0259,17.7,0.78,2.09,305.1196519
AB1973,NSE,Materials,625.18,11270.15,70.4,24.64,16955769,5.32,0.03,0.0504,74.9,0.6,1.48,174.1666233
AB1974,BSE,Real Estate,142.32,38182.08,22.81,76.84,3638739,4.73,-0.43,0.0192,74.9,0.71,5.24,168.1513821
AB1975,NSE,Energy,889.38,11270.15,62.9,117.1,15890606,4.49,0.11,0.0223,74.9,1.11,1.91,737.405684
AB1976,NSE,Real Estate,282.98,11270.15,44.85,106.09,9949451,6.39,-0.43,0.0269,74.9,0.84,5.68,465.9583286
AB1977,NSE,Healthcare,106.53,11270.15,77.57,84.08,19253488,7.32,0.78,0.049,74.9,1.04,8.79,644.3470562
AB1978,JSE,Information Tech,203.66,55722,13.76,32.99,18908257,7.15,0.23,0.061,17.7,0.76,6.81,42.75591942
AB1979,NSE,Healthcare,529.44,11270.15,88.31,160.72,1019297,6.64,0.78,0.0456,74.9,1.24,3.17,1405.398498
AB1980,NSE,Information Tech,574.45,11270.15,43.92,97.53,18684349,2.76,0.23,0.0303,74.9,1,8.45,421.1675108
AB1981,BSE,Materials,32.08,38182.08,95.95,55.23,13501907,6.06,0.03,0.0482,74.9,0.84,3.34,524.7651752
AB1982,JSE,Materials,490.2,55722,49.92,164.92,18243088,3.87,0.03,0.0176,17.7,0.99,6.82,808.5722713
AB1983,JSE,Healthcare,658.1,55722,90.29,180.66,3356743,3.76,0.78,0.0403,17.7,1.1,2.48,1617.03804
AB1984,NYSE,Energy,15.26,12765.84,33.94,114.13,9727465,3.82,0.11,0.0445,1,0.95,2.33,376.4321397
AB1985,NSE,Energy,862.02,11270.15,72.34,151.51,19678556,4.81,0.11,0.0415,74.9,0.96,6.19,1091.760158
AB1986,NYSE,Materials,848.21,12765.84,40.99,86.68,1676595,6.78,0.03,0.034,1,0.88,1.8,356.7525527
AB1987,JSE,Healthcare,787.93,55722,90.17,73.1,6269143,7.69,0.78,0.0368,17.7,0.71,2.11,659.2790722
AB1988,JSE,Information Tech,194.08,55722,35.71,110.15,11385029,6.82,0.23,0.0201,17.7,1.03,6.86,382.9928282
AB1989,NYSE,Energy,96.97,12765.84,55.68,83.17,18501621,6.14,0.11,0.052,1,0.93,5.48,455.2322581
AB1990,S&P 500,Information Tech,293.39,3351.28,86.17,121.85,7216891,3.39,0.23,0.0422,1,0.74,1.2,1038.584847
AB1991,JSE,Materials,729.8,55722,33.77,97.85,18281144,8.21,0.03,0.047,17.7,0.83,1.86,326.1756071
AB1992,NSE,Energy,935.48,11270.15,37.98,22.69,1509267,3.74,0.11,0.0224,74.9,0.85,3.68,99.87779577
AB1993,NYSE,Information Tech,783.77,12765.84,16.2,98.57,590885,2.83,0.23,0.0152,1,0.75,5.77,157.2890133
AB1994,JSE,Real Estate,756.18,55722,67.89,103.64,17682978,5.15,-0.43,0.0212,17.7,0.84,1.53,699.455583
AB1995,S&P 500,Energy,123.13,3351.28,44.37,191.92,3485407,5.13,0.11,0.0578,1,1.2,7.96,832.9623224
AB1996,JSE,Healthcare,135.27,55722,94.25,158.77,16520498,5.33,0.78,0.0249,17.7,0.85,5.82,1481.149142
AB1997,NYSE,Energy,412.48,12765.84,63.04,148.53,9250083,2.8,0.11,0.0324,1,0.73,0.99,922.742082
AB1998,S&P 500,Information Tech,907.5,3351.28,51.1,105.61,3591254,6.73,0.23,0.0501,1,1.24,3.82,542.9418624
AB1999,NYSE,Information Tech,119.47,12765.84,48.39,115.43,18774641,6.02,0.23,0.0403,1,0.64,1.68,547.5650886
AB2000,S&P 500,Real Estate,541.03,3351.28,27.84,186.75,4367859,4.12,-0.43,0.0511,1,1.01,3.65,503.5967533
AB2001,JSE,Information Tech,709.54,55722,96.27,157.58,6785754,5,0.23,0.0452,17.7,0.69,7.67,1506.231576
AB2002,BSE,Materials,168.51,38182.08,55.2,121.02,12568156,3.57,0.03,0.0401,74.9,0.88,7.84,656.4986401
AB2003,BSE,Materials,54.1,38182.08,89.39,133.71,11587680,5.48,0.03,0.0607,74.9,1.27,7.73,1182.253934
AB2004,BSE,Healthcare,133.4,38182.08,50.4,78,19308969,4.84,0.78,0.0395,74.9,0.87,1.2,385.9223757
AB2005,S&P 500,Healthcare,561.88,3351.28,59.55,36.69,8799358,6.66,0.78,0.0191,1,1.16,6.14,217.2452156
AB2006,S&P 500,Healthcare,963.57,3351.28,74.67,151.91,11204212,5.17,0.78,0.0415,1,1.08,7.7,1137.836164
AB2007,NSE,Real Estate,342.89,11270.15,91.23,192.83,2563229,7.64,-0.43,0.0506,74.9,0.79,6.86,1740.828815
AB2008,NYSE,Information Tech,741.59,12765.84,18.91,59.3,9298079,3.17,0.23,0.0215,1,0.75,2.16,112.1038706
AB2009,NYSE,Materials,254.12,12765.84,49.91,145.61,19699970,7.61,0.03,0.0428,1,0.99,7.8,712.9223249
AB2010,NSE,Real Estate,124.77,11270.15,89.33,187,15447275,5.87,-0.43,0.0378,74.9,1.24,2.22,1652.231767
AB2011,S&P 500,Energy,675.79,3351.28,99.74,179.19,2731562,6.33,0.11,0.0495,1,0.7,1.05,1773.488617
AB2012,BSE,Real Estate,577.51,38182.08,88.55,57.47,11747194,5.61,-0.43,0.056,74.9,0.87,8.97,505.6289087
AB2013,BSE,Energy,97.6,38182.08,22.77,197.33,4020150,5.03,0.11,0.0205,74.9,0.83,8,430.4094255
AB2014,S&P 500,Information Tech,332.6,3351.28,13.31,67.85,11162111,3.06,0.23,0.0189,1,1.06,3.59,84.59963195
AB2015,NSE,Information Tech,303.8,11270.15,35.91,153.75,16069412,8.31,0.23,0.0536,74.9,1.15,5.55,537.6879689
AB2016,BSE,Healthcare,955.96,38182.08,42.96,70.91,11111629,7.08,0.78,0.0392,74.9,1.02,2.54,315.5020255
AB2017,JSE,Information Tech,267.47,55722,50.55,134.17,11698607,6.19,0.23,0.0351,17.7,1.17,1.16,665.5928608
AB2018,NSE,Healthcare,292.97,11270.15,22.15,92.44,7419504,6.92,0.78,0.0299,74.9,1.26,4.34,196.5111889
AB2019,JSE,Energy,222.61,55722,21.66,124.38,2763801,7.47,0.11,0.0589,17.7,0.68,8.52,257.8246595
AB2020,NSE,Materials,656.38,11270.15,95.67,69.39,16789701,6.35,0.03,0.0362,74.9,1.06,4.94,660.628386
AB2021,JSE,Energy,279.68,55722,74.18,187.97,643669,3.41,0.11,0.0375,17.7,0.78,8.85,1376.375586
AB2022,NYSE,Energy,908.99,12765.84,79.67,151.08,5921530,5.05,0.11,0.0343,1,1.26,9.23,1202.453729
AB2023,NSE,Information Tech,941.3,11270.15,67.16,99.25,7063676,7.94,0.23,0.0461,74.9,0.63,9.18,673.1976963
AB2024,BSE,Real Estate,665.68,38182.08,40.75,151.81,19615077,4.24,-0.43,0.0279,74.9,0.96,3.85,607.4523968
AB2025,NSE,Healthcare,207.05,11270.15,84.63,30,17528723,5.73,0.78,0.032,74.9,0.63,8.62,251.5649724
AB2026,BSE,Real Estate,486.73,38182.08,24.68,84.78,1231040,8.21,-0.43,0.0391,74.9,0.62,4.23,202.5013634
AB2027,NSE,Healthcare,648.27,11270.15,64.24,64.05,13589549,7.21,0.78,0.019,74.9,0.98,8.36,408.7494465
AB2028,NYSE,Real Estate,932.23,12765.84,10.8,69.75,1716866,3.75,-0.43,0.0209,1,1.21,5.01,84.27247524
AB2029,JSE,Information Tech,929.88,55722,60.15,199.76,3573464,6.63,0.23,0.0512,17.7,0.9,7.93,1197.233626
AB2030,S&P 500,Information Tech,742.68,3351.28,48.28,102.18,2064968,6.33,0.23,0.0563,1,0.86,6.16,488.9910824
AB2031,NYSE,Real Estate,860.68,12765.84,81.31,183.23,7155973,5.99,-0.43,0.038,1,0.71,9.27,1482.317754
AB2032,NYSE,Information Tech,632.91,12765.84,95.95,10.86,14610840,6.2,0.23,0.0465,1,0.61,8.7,106.4447865
AB2033,NSE,Real Estate,434.23,11270.15,22.85,179.49,12918891,6.21,-0.43,0.0278,74.9,0.95,7.24,393.7875778
AB2034,S&P 500,Real Estate,532.32,3351.28,12.11,30.29,5511586,7.15,-0.43,0.0579,1,1.09,2.71,35.71448961
AB2035,NSE,Materials,684.01,11270.15,75.84,157.83,12468824,7.14,0.03,0.0589,74.9,1.09,0.7,1185.542954
AB2036,S&P 500,Healthcare,576.38,3351.28,65.27,113.92,6940185,4.65,0.78,0.0215,1,0.67,1.89,734.8322387
AB2037,S&P 500,Energy,563.09,3351.28,44.45,128.04,15359393,4.8,0.11,0.0262,1,1.23,6.03,558.7748016
AB2038,S&P 500,Healthcare,170.74,3351.28,87.85,158.98,2294863,7.19,0.78,0.0564,1,0.61,0.71,1381.404779
AB2039,NYSE,Information Tech,732.63,12765.84,78.17,159.68,4067268,6.68,0.23,0.0219,1,0.76,6.17,1237.844684
AB2040,JSE,Energy,888.18,55722,90.51,195.08,4701862,3.36,0.11,0.0327,17.7,0.95,2.15,1758.656397
AB2041,BSE,Energy,838.22,38182.08,15.67,189.2,2930266,6.26,0.11,0.0508,74.9,0.91,7.48,287.6591837
AB2042,JSE,Materials,157.95,55722,98.37,87.34,2118019,6.84,0.03,0.0205,17.7,1.21,2.88,850.9061216
AB2043,NYSE,Energy,699.73,12765.84,14.55,122.52,8006742,6.1,0.11,0.0302,1,0.6,2.93,171.0469984
AB2044,JSE,Healthcare,510.77,55722,84.19,84.09,12708999,4.9,0.78,0.0264,17.7,1.12,4.19,701.4900995
AB2045,NSE,Energy,206.9,11270.15,76.83,54.62,11142919,5.11,0.11,0.0165,74.9,0.88,2.08,414.739174
AB2046,S&P 500,Information Tech,568.81,3351.28,64.93,108.88,14852704,6.44,0.23,0.0483,1,0.73,7.08,698.5647536
AB2047,NSE,Materials,5.8,11270.15,52.73,162.08,13206591,6.01,0.03,0.0376,74.9,1.17,8.28,838.8849187
AB2048,NYSE,Materials,573.01,12765.84,18.2,42.12,3570561,5.29,0.03,0.0552,1,0.67,3.38,74.99111052
AB2049,NSE,Energy,686.03,11270.15,56.93,183.36,2215174,4.75,0.11,0.038,74.9,1.19,8.87,1029.969052
AB2050,NYSE,Information Tech,326.45,12765.84,37.41,99.24,19251977,5.04,0.23,0.0179,1,1.09,9.05,362.2661992
AB2051,S&P 500,Materials,16.51,3351.28,37.8,85.25,6875411,6.72,0.03,0.0595,1,0.93,7.11,314.1492177
AB2052,BSE,Materials,372.21,38182.08,13.32,99.2,3449480,3.48,0.03,0.0277,74.9,1.1,3.44,123.5254447
AB2053,BSE,Energy,862.09,38182.08,29.83,188.35,14504413,2.84,0.11,0.0343,74.9,0.72,2.91,554.1194516
AB2054,BSE,Real Estate,236.7,38182.08,46.38,28.8,16563322,4.38,-0.43,0.0439,74.9,0.83,1.62,131.2528197
AB2055,JSE,Real Estate,283.3,55722,28.54,58,16350960,6.86,-0.43,0.0154,17.7,0.71,6.59,160.4802843
AB2056,BSE,Energy,196.5,38182.08,55.07,30.26,16040490,5.79,0.11,0.0608,74.9,0.62,9.53,164.1806771
AB2057,NYSE,Information Tech,884.34,12765.84,39,112.45,18689526,7.55,0.23,0.0423,1,1.2,1.2,439.6016523
AB2058,NSE,Real Estate,847.05,11270.15,78.07,25.8,14893042,3.72,-0.43,0.0312,74.9,1.11,3.78,208.7657898
AB2059,S&P 500,Materials,529.55,3351.28,83.13,66.22,15008942,5.91,0.03,0.0579,1,0.8,3.69,545.8669741
AB2060,JSE,Information Tech,549.11,55722,50.94,180.06,7860834,8.08,0.23,0.0197,17.7,0.93,3.6,901.5705011
AB2061,NYSE,Real Estate,922.59,12765.84,24.25,41.33,3648593,3.85,-0.43,0.0427,1,0.95,3.89,111.0080237
AB2062,S&P 500,Energy,207.68,3351.28,18.93,181.6,7136964,6.95,0.11,0.0436,1,1.15,8.81,326.5860351
AB2063,NSE,Energy,135.03,11270.15,90.8,163.14,1036119,4.13,0.11,0.0532,74.9,1.23,0.68,1465.504443
AB2064,S&P 500,Energy,140.22,3351.28,63.44,63.24,17580645,5.54,0.11,0.0529,1,0.8,4.04,395.3538428
AB2065,NYSE,Energy,655.77,12765.84,20.24,10.23,9519895,6.02,0.11,0.0358,1,0.91,7.14,23.39106291
AB2066,JSE,Information Tech,430.61,55722,86.79,166.76,10613684,5.71,0.23,0.0438,17.7,1.09,2.15,1431.979592
AB2067,BSE,Healthcare,661.2,38182.08,94.29,149.37,8382813,4.46,0.78,0.0591,74.9,0.71,8.13,1397.462895
AB2068,NSE,Real Estate,458.4,11270.15,41.23,129.51,7116662,8.19,-0.43,0.0224,74.9,1.14,7.78,522.5210256
AB2069,JSE,Healthcare,514.86,55722,65.39,125.05,2827922,3.2,0.78,0.0302,17.7,1.17,8.61,807.2134979
AB2070,NSE,Energy,616.91,11270.15,87.91,129.09,7640892,5.98,0.11,0.0199,74.9,0.61,3.29,1125.029811
AB2071,JSE,Information Tech,76.93,55722,39.2,127.45,16095014,5.9,0.23,0.0504,17.7,1.26,9.53,487.3729906
AB2072,NSE,Real Estate,545.57,11270.15,18.68,31.41,8031570,6.71,-0.43,0.0158,74.9,0.92,7.57,57.69657775
